vendor_count,is_chain,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,engagement_duration,tot_value_cui,preferred_order_day,preferred_order_hour,age_category
2.0,1.0,0.0,23.7,0.0,0.0,0.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.78,6.0,0.0,26
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,3.5,0.0,0.0,7.0,25.58,3.0,10.0,26
2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,8.0,9.64,0.0,8.0,26
2.0,2.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,0.0,8.0,19.28,0.0,6.0,26
2.0,1.0,6.08,0.0,30.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.17,0.0,6.0,42
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.64,0.0,0.0,0.0,0.0,15.92,8.0,69.56,0.0,16.0,26
4.0,2.0,7.62,0.0,0.0,2.65,0.0,0.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.990000000000002,6.0,8.0,26
3.0,3.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.47,2.0,12.0,26
5.0,4.0,0.0,2.99,0.0,0.0,5.11,4.13,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.55,2.0,14.0,42
1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.36,3.0,12.0,26
